city;state;date_time;shape
Brookings;OR;22/02/2006 01:45;light
Lawdale;CA;22/02/2006 20:55;chevron
Mount Morris;NY;24/02/2006 02:30;other
Saginaw;MI;25/02/2006 09:00;flash
Columbus;OH;25/02/2006 13:00;light
Berkeley Vale (Australia);;26/02/2006 04:40;light
Middletown;RI;28/02/2006 19:45;light
San Antonio;TX;28/02/2006 22:00;triangle
Glendale;AZ;01/03/2006 04:12;unknown
Corpus Christi;TX;01/03/2006 18:00;changing
Laughlin;NV;02/03/2006 15:30;other
Canberra (Australia);;03/03/2006 03:00;diamond
Fayetteville;AR;03/03/2006 06:00;disk
Whittier;CA;03/03/2006 21:10;other
Coventry (UK/England);;04/03/2006 11:17;cross
Charlotte;NC;04/03/2006 16:45;oval
Waupaca;WI;05/03/2006 17:30;unknown
Minneapolis;MN;05/03/2006 20:33;flash
Pittsburgh;PA;05/03/2006 21:00;chevron
North Hills;CA;06/03/2006 14:35;egg
Cabo San Lucas (Mexico);;06/03/2006 16:00;circle
Bloomfield;NJ;06/03/2006 18:20;unknown
Avery;MO;06/03/2006 21:00;triangle
Desert Hot Springs;CA;07/03/2006 03:45;chevron
Fairborn;OH;08/03/2006 13:00;oval
Norwalk;CA;10/03/2006 19:00;light
Pacheco;CA;10/03/2006 19:20;light
Joplin;MO;10/03/2006 20:00;circle
Rock Hill;SC;10/03/2006 20:30;flash
Whittier;CA;10/03/2006 21:00;oval
Tulsa;OK;10/03/2006 21:45;changing
Rockport;WV;11/03/2006 05:30;light
Rockport;WV;11/03/2006 05:30;light
Whittier;CA;11/03/2006 09:00;light
Carthage;TX;11/03/2006 11:00;circle
Whittier;CA;11/03/2006 11:00;sphere
Folsom;CA;11/03/2006 12:00;other
Santa Cruz;CA;11/03/2006 17:40;sphere
Charlotte;NC;11/03/2006 17:45;oval
Bay City;MI;11/03/2006 19:00;light
Camarillo;CA;11/03/2006 19:25;light
East Boston;MA;11/03/2006 21:00;light
Fort Lauderdale;FL;11/03/2006 22:00;light
Matauri Bay (New Zealand);;11/03/2006 22:00;fireball
Brick Town;NJ;11/03/2006 22:00;disk
Natick;MA;11/03/2006 23:00;unknown
Padukka (Sri Lanka);;12/03/2006 05:20;other
Putney (UK/England);;12/03/2006 11:30;triangle
Phoenix;AZ;12/03/2006 12:40;light
San Francisco;CA;12/03/2006 16:45;light
Tustin;CA;12/03/2006 18:00;other
Daly City;CA;12/03/2006 18:00;fireball
Gray;TN;12/03/2006 19:40;light
Augusta;ME;12/03/2006 21:00;sphere
Vancouver;BC;12/03/2006 21:55;light
Jacksonville;FL;12/03/2006 23:15;disk
San Diego;CA;13/03/2006 00:00;circle
Belle Glade;FL;13/03/2006 02:00;triangle
South Bay;FL;13/03/2006 02:00;triangle
Minneapolis;MN;13/03/2006 04:38;flash
La Quinta;CA;13/03/2006 05:15;oval
Cleveland;OH;13/03/2006 09:25;circle
Lancaster (UK/England);;13/03/2006 20:00;triangle
Everett;WA;13/03/2006 21:00;light
Leon;KS;13/03/2006 21:00;light
Los Banos;CA;13/03/2006 21:30;teardrop
Portland;OR;13/03/2006 21:30;other
Brick Town;NJ;13/03/2006 22:00;disk
Minneapolis;MN;13/03/2006 22:30;triangle
Wildwood;GA;13/03/2006 23:15;triangle
Gainesville;GA;14/03/2006 06:00;light
Shrewsbury (UK/England);;14/03/2006 07:15;circle
Colorado Springs;CO;14/03/2006 08:00;flash
Brick Town;NJ;14/03/2006 12:00;chevron
Agoura Hills;CA;14/03/2006 18:45;formation
Bogata;TX;14/03/2006 19:30;light
Brookfield;MO;14/03/2006 19:45;triangle
Golden;CO;14/03/2006 20:00;circle
Shelton;WA;14/03/2006 20:25;light
Dongen (Netherlands);;14/03/2006 20:30;formation
Lewisville;TX;14/03/2006 22:00;circle
Marlboro;NY;14/03/2006 21:00;triangle
Hamilton;ON;14/03/2006 22:35;oval
Westfield;NJ;15/03/2006 01:00;light
Covington;WA;15/03/2006 01:00;unknown
Hope Mills;NC;15/03/2006 04:00;changing
Grand Ledge;MI;15/03/2006 10:15;triangle
Portland;OR;15/03/2006 13:00;triangle
Portland;OR;15/03/2006 13:00;triangle
Oakland;NJ;15/03/2006 17:30;triangle
Edmonds;WA;15/03/2006 19:00;triangle
Rinard;IL;15/03/2006 20:10;light
Normal;IL;15/03/2006 21:30;triangle
Columbus;OH;15/03/2006 22:40;disk
Lenexa;KS;15/03/2006 23:00;light
Peoria;AZ;16/03/2006 19:30;fireball
Oakville;WA;16/03/2006 20:00;unknown
Middleboro;MA;16/03/2006 20:00;triangle
San Antonio;TX;16/03/2006 20:00;triangle
Pennsauken;NJ;16/03/2006 20:30;unknown
Springfield;VA;16/03/2006 20:32;triangle
Kendall;FL;16/03/2006 23:50;oval
Huntington Beach;CA;17/03/2006 01:40;cross
North Andover;MA;17/03/2006 02:00;other
Caracas;DC;17/03/2006 09:00;disk
Peterborough;ON;17/03/2006 13:30;sphere
Nanuet;NY;17/03/2006 20:00;oval
Columbia;MO;17/03/2006 21:00;unknown
Afton;VA;17/03/2006 23:15;oval
Mesa;AZ;18/03/2006 00:05;disk
Sacramento;CA;18/03/2006 01:00;unknown
Fleetwood;PA;18/03/2006 06:00;light
Hallandale;FL;18/03/2006 08:30;circle
Huntington Beach;CA;18/03/2006 12:40;cross
